TimeSlot,mMTC_BW,URLLC_BW,eMBB_BW
522,217.362037631533,199.501457090477,583.136505277989
523,215.986775538537,189.526384235954,594.48684022551
524,214.195659451232,180.050065024156,605.754275524612
525,211.716130901343,171.047561772948,617.236307325709
526,207.218216804604,162.495183684301,630.286599511096
527,206.781249586017,154.370424500086,638.848325913898
528,208.620820964443,146.651903275081,644.727275760476
529,203.837729245457,168.754898450171,627.407372304372
530,199.145009713545,184.614987546599,616.240002739856
531,196.805844963546,200.425074108941,602.769080927513
532,192.477258866099,219.511068392695,588.011672741206
533,188.819625676698,239.820442743744,571.359931579557
534,187.601196527745,251.602195432484,560.796608039771
535,183.623646590866,269.731706903975,546.644646505159
536,182.536477912349,281.905278405326,535.558243682325
537,181.358710523752,291.509452295031,527.131837181217
538,180.897837305135,306.206314847232,512.895847847634
539,180.349292728927,319.911633513694,499.739073757378
540,178.933910135604,333.681465150129,487.384624714267
541,177.87563125474,349.911363996474,472.213004748786
542,175.272832067317,364.338916195472,460.388251737211
543,173.49218268313,380.011154293415,446.496663023456
544,173.138267587966,392.332375053663,434.529357358372
545,172.56407912793,398.521973921066,428.913946951005
546,179.576285023879,378.595875225012,441.827839751109
547,177.010759767487,386.642434685298,436.346805547215
548,174.904262752308,394.676218457011,430.419518790681
549,171.753620960522,407.862103047718,420.38427599176
550,174.541256847734,387.468997895332,437.989745256934
551,171.756368504241,393.347129214393,434.896502281366
552,170.446404133935,403.329978701918,426.223617164147
553,168.246075287217,410.980000872216,420.773923840568
554,169.578965081808,390.431000828605,439.990034089587
555,174.246485747094,370.909450787175,454.844063465731
556,180.043577125745,352.363978247816,467.592444626439
557,178.361989391716,364.45506312612,457.182947482164
558,181.011706661485,346.232309969814,472.755983368701
559,181.103363829541,328.920694471323,489.975941699136
560,183.180328457182,312.474659747757,504.345011795061
561,182.329739493967,326.119407464651,491.550853041383
562,191.256367716345,309.813437091418,498.930195192237
563,192.939993606991,294.322765236847,512.737241156162
564,195.310332560939,279.606626975005,525.083040464056
565,192.03162505342,265.626295626255,542.342079320326
566,189.678877094314,281.45554134616,528.865581559526
567,185.380725644734,296.337729621759,518.281544733508
568,181.684332757023,281.520843140671,536.794824102306
569,181.198604683799,267.444800983637,551.356594332564
570,179.753393562124,279.83325863245,540.413347805426
571,176.92560597704,292.319280299663,530.755113723297
572,179.663151683743,277.70331628468,542.633532031577
573,181.301029027115,263.818150470446,554.880820502439
574,180.9515021387,250.627242946923,568.421254914377
575,180.875100277029,238.095880799577,581.029018923394
576,180.867978727094,226.191086759598,592.940934513307
577,179.773113556549,214.881532421618,605.345354021833
578,179.080867989496,204.137455800538,616.781676209966
579,176.932270856057,193.930583010511,629.137146133432
580,173.79918619893,184.234053859985,641.966759941085
581,171.939367662549,175.022351166986,653.038281170465
582,169.218097389164,188.502278653406,642.27962395743
583,161.781752721903,216.249235333338,621.969011944759
584,159.046335912138,229.118376789514,611.835287298348
585,161.270012424487,217.662457950038,621.067529625475
586,163.447710628405,206.779335052536,629.772954319059
587,162.867532531357,196.44036829991,640.692099168733
588,160.481649116262,186.618349884914,652.900000998824
589,153.53944299577,192.287432390668,654.173124613562
590,152.858462205706,182.673060771135,664.468477023159
591,150.734861965039,173.539407732578,675.725730302383
592,149.557575826516,164.862437345949,685.579986827534
593,149.936498629621,156.619315478652,693.444185891727
594,149.545405541198,148.788349704719,701.666244754083
595,150.773720418757,141.348932219483,707.87734736176
596,143.923561916065,149.281485608509,706.794952475426
597,142.045612845953,141.817411328084,716.136975825963
598,144.421514546818,134.726540761679,720.851944691502
599,146.969522762984,127.990213723595,725.040263513421
600,147.557759072577,121.590703037416,730.851537890007
601,150.06592231856,115.511167885545,734.422909795895
602,151.041500872706,109.735609491268,739.222889636027
603,152.712278975725,104.248829016704,743.038892007571
604,158.97099246073,99.9037315220892,741.125276017181
605,159.511829922233,99.4934336543791,740.994736423388
606,163.210854177984,99.454864216155,737.334281605861
607,161.806426309032,117.853598292744,720.339975398224
608,157.259079468011,146.865816319475,695.875104212514
609,151.173730034212,176.722213674784,672.104056291004
610,150.934447239012,194.168041848386,654.897510912602
611,151.501487863978,184.459639755967,664.038872380055
612,145.710841491028,190.236657768168,664.052500740803
613,144.764309869651,180.72482487976,674.510865250589
614,149.086535559428,171.688583635772,679.2248808048
615,151.989819644208,163.104154453983,684.906025901809
616,146.019366133312,196.083773784105,657.896860082584
617,147.455674064796,216.250502210671,636.293823724532
618,153.960880731653,205.437977100138,640.601142168209
619,157.14426567152,195.166078245131,647.689656083349
620,156.912464173566,214.166287325504,628.92124850093
621,157.883120470009,233.452035408343,608.664844121649
622,159.696004456534,252.33551836504,587.968477178425
623,162.779071809408,268.641225721373,568.579702469219
624,166.181495789385,255.209164435304,578.609339775311
625,173.467646587,242.448706213539,584.083647199461
626,173.968370070824,260.629619833656,565.40201009552
627,174.855123336861,274.942735377401,550.202141285739
628,175.865986676003,287.141992404029,536.992020919968
629,171.943445785756,313.216641899806,514.839912314438
630,173.722378762628,322.000975959665,504.276645277707
631,176.965924572546,333.952393556757,489.081681870698
632,178.532068667029,345.480044444363,475.987886888608
633,186.733706862326,328.206042222144,485.060250915529
634,194.40992313039,311.795740111037,493.794336758572
635,199.711145933968,296.205953105485,504.082900960547
636,199.793218347007,281.395655450211,518.811126202782
637,196.038550793605,282.325872677701,521.635576528694
638,196.770239836672,268.209579043816,535.020181119512
639,197.094265419261,254.799100091625,548.106634489114
640,199.956738798182,242.059145087044,557.984116114775
641,200.779469918639,229.956187832691,569.264342248669
642,204.635347377623,218.458378441057,576.90627418132
643,206.175879872375,207.535459519004,586.288660608621
644,207.235282467107,218.69655770735,574.068159825543
645,207.228266678793,234.191263846915,558.580469474292
